"Table","FieldCount","PhysicalName","LogicalDatabase","Connection","KeyFields","FirstFields"
"Chauffeur","22","Chauffeur","Chauffeur","_127_0_0_1_Opentrans","IDChauffeur, cle_unique_agence, Agence_code, Agence_nom, Agence_code_nom, Login, cle_unique_agenceLogin, cle_unique_agenceLoginMotDePasse, IDPOSITION_CHAUFFEUR, Tourn�e_EnCours","IDChauffeur, cle_unique_agence, Code_chauffeur, Nom, Prenom_chauffeur, Agence_code, Agence_nom, Agence_code_nom, Categorie, Code_tiers, Num_Telephone, Longitude"
"ParamUser","22","ParamUser","ParamUser","_127_0_0_1_Opentrans","IdParamUser, IDUtilisateur","IdParamUser, IDUtilisateur, Repertoire_des_emarges, Imprimante_Thermique, repertoire_temporaire_emarges, Repertoire_internet, Imprimante_etiquettes, Repertoire_depot_pour_Convergence, repertoire_emission_edi, repertoire_emarges_pour_transfert_internet, repertoire_Temporaire_internet, repertoire_pour_reception_internet"
"Facture_Detail","21","Facture_Detail","Facture_Detail","_127_0_0_1_Opentrans","IDFacture_Detail, IDFacture_Entete","IDFacture_Detail, IDFacture_Entete, Numero_Ligne, Rubrique_Identifiant, Rubrique_Renseignement, Colis, Poids, Montant, PoliceGras, Code_produit, PU, DateReglementFacture"
"StatGenerales","21","StatGenerales","StatGenerales","_127_0_0_1_Opentrans","IDStatGenerales, code_produit, cle_unique_agence, AA, MM, Compte_payeur, cle_unique_agenceAAMMCompte_payeurCode_PaysDept_des","IDStatGenerales, code_produit, cle_unique_agence, AA, MM, Code_Pays, Dept_des, Compte_payeur, Colis, Poids, Taxe_additionnelle, Taxe_Valeur_declaree"
"Temp_sst","21","Temp_sst","Temp_sst","_127_0_0_1_Opentrans","IDTemp_sst, IDClients","IDTemp_sst, IDClients, AA, MM, dept, Code_Pays, Nb_pos, Nb_colis, Poids, Montant, Traction_plateforme, Paq_plateforme"
"Prospection","21","prospection","Prospection","_127_0_0_1_Opentrans","IDProspection, RaisonSocial, CodePostal, Ville, DateDernierAppel, DateProchaineAppel, Action, NePlusRelancer, DevenuClient, DateCreation","IDProspection, RaisonSocial, Adresse, CodePostal, Ville, Pays, Telephone, Contact, Email_contact, DescriptionActivite, Commentaire, DateDernierAppel"
"Tarifcli","20","Tarifcli","Tarifcli","_127_0_0_1_Opentrans","IDTarifcli, cle_unique_agence, code_produit, Agence_produit_client_type_date, Agence_clients_type_date","IDTarifcli, cle_unique_agence, code_produit, date_application, code_clients, type_tarif, Code_tarif, code_timbre_port_paye, code_timbre_valeur_declaree, Majo_mino, Valeur_majo_mino, Agence_produit_client_type_date"
"Entmail","20","Entmail","Entmail","Connexion1","IDEntmail, Nom_connexionUtilisateurAd_expediteurAd_destinataire, Email_envoye, date_emission, Idclient","IDEntmail, Nom_connexion, Utilisateur, Mot_de_passe, Pop3, Smtp, Ad_expediteur, Ad_destinataire, Nom_connexionUtilisateurAd_expediteurAd_destinataire, Sujet_mail, Texte_mail, Ad_destinataire_x"
"Temp_stat_tournee","19","Temp_stat_tournee","Temp_stat_tournee","","IDTemp_stat_tournee, code_tourn�e, code_tourn�edate, OptimCleComp_DATE_code_","IDTemp_stat_tournee, code_tourn�e, date, Nb_pos_livr�, Nb_colis_livre, Poids_livre, Montant_livre, taxe_livre, Seconde_presentation_livre, Nb_pos_ramasse, Nb_clois_ramasse, Poids_Ramasse"
"ParamPoste","19","ParamPoste","ParamPoste","","IDParamPoste","IDParamPoste, Repertoire_des_emarges, Imprimante_Thermique, repertoire_temporaire_emarges, Repertoire_internet, Imprimante_etiquettes, Repertoire_depot_pour_Convergence, repertoire_emission_edi, repertoire_emarges_pour_transfert_internet, repertoire_Temporaire_internet, repertoire_pour_reception_internet, repertoire_pour_transfert_internet"
